14,19,38,17,41,31,22,3,6,50,10,39,2,7,24,26,18,34,44,1,37,9,29,4,25,45,35,12,36,43,49,23,30,47,5,11,28,20,27,15,32,33,40,42,16,8,46,21,48,13
49,16,35,26,39,30,11,5,50,43,37,33,45,21,41,2,12,14,20,48,1,13,3,4,25,7,23,31,32,10,6,38,42,29,22,8,9,36,46,17,40,27,15,28,47,44,19,34,24,18
11,14,43,49,35,21,10,18,31,42,33,19,29,45,2,40,16,1,25,15,27,46,47,13,22,5,24,32,9,23,12,44,39,7,50,48,28,36,17,3,30,20,8,41,26,34,38,6,37,4
22,36,12,11,39,31,27,4,17,1,49,3,33,40,41,10,2,29,50,35,38,19,48,6,30,21,46,5,16,18,37,26,15,8,9,14,43,47,7,20,42,24,34,23,28,44,45,25,32,13
30,42,4,7,2,8,33,25,3,14,35,28,24,27,32,29,11,46,20,37,47,9,1,13,12,18,16,40,17,45,49,5,6,19,23,21,41,50,22,34,48,44,10,36,26,15,43,38,39,31
18,35,29,8,10,11,13,21,31,41,26,34,12,28,43,14,40,45,1,3,17,22,48,5,19,46,36,47,44,24,2,32,33,25,37,39,38,27,9,6,16,20,50,4,30,49,7,15,23,42
36,13,31,22,46,47,32,4,2,15,19,49,41,30,29,10,34,11,37,50,38,7,27,48,24,20,9,45,21,1,26,8,16,6,5,28,3,18,40,33,12,25,39,42,23,17,14,44,43,35
4,50,14,18,1,10,28,17,22,15,11,40,19,36,34,48,5,37,38,41,32,39,7,49,3,21,45,6,47,16,35,44,12,13,31,26,24,30,27,29,2,43,8,42,23,20,25,33,46,9
45,43,21,8,22,47,20,7,28,27,12,48,46,10,11,41,32,37,35,3,40,23,17,13,38,33,9,4,50,30,42,49,6,34,36,24,29,39,25,2,15,31,18,5,16,26,1,14,44,19
48,13,19,38,24,18,20,30,37,29,36,40,35,5,14,43,15,41,9,45,16,42,1,4,31,32,27,7,49,39,17,11,25,33,3,34,26,47,23,8,50,10,21,22,46,44,12,6,28,2
